"geneID" "HG002" "HG003" "WB100071" "WB100005" "WB100061" "WB100043" "WB100083" "WB100079" "WB100078" "WB100074" "WB100038" "WB100017"
"ENSG00000008118.10_5" 0 0 0 0 0 0 0 0 0 0 0 4
"ENSG00000008128.23_7" 59 957 789 3428 3332 1017 1383 875 1217 1895 2622 1670
"ENSG00000008130.15_5" 57239 75075 2694 14952 17073 4560 18142 4648 7935 6827 13022 6422
"ENSG00000008196.13_5" 182 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000008197.5_5" 50 0 0 1 1 0 0 0 0 0 0 0
"ENSG00000008226.20_5" 255 910 84 321 241 154 66 68 111 134 255 98
"ENSG00000008256.16_6" 1764 1488 152 511 715 116 152 117 262 235 404 137
"ENSG00000008277.14_3" 914 352 34 196 137 52 20 20 30 46 92 20
"ENSG00000008282.8_6" 11603 14326 529 1674 1723 690 387 330 595 554 1151 511
"ENSG00000008283.16_6" 4412 2084 330 1567 1091 318 222 318 388 431 829 322
"ENSG00000008294.21_7" 12618 13233 592 2972 4065 1134 2305 1068 1173 1119 2195 1169
"ENSG00000008300.17_6" 454 280 79 149 232 56 33 43 80 112 114 33
"ENSG00000008311.15_5" 1394 0 18 74 88 23 15 22 14 39 72 20
"ENSG00000008323.15_3" 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000008324.11_3" 5636 736 86 475 319 84 69 58 49 61 223 164
"ENSG00000008382.15_6" 469 766 141 461 446 164 165 90 197 195 331 287
"ENSG00000008394.13_8" 2092 4110 112 160 323 107 100 38 145 163 237 288
"ENSG00000008405.12_6" 2768 1700 129 590 532 158 65 115 125 177 320 120
"ENSG00000008438.5_5" 3241 4390 268 1148 780 118 1818 349 264 1209 758 1937
"ENSG00000008441.16_6" 2456 1974 185 180 473 253 243 121 111 265 338 200
"ENSG00000008513.16_9" 25501 17522 1780 6570 5806 2437 1390 1198 1737 2633 3992 1602
"ENSG00000008516.17_4" 37807 43391 3438 56747 20205 5546 25753 7768 9916 12820 15605 16143
"ENSG00000008517.17_6" 50737 18199 6430 21913 15713 4304 3091 3019 5634 5301 10945 7791
"ENSG00000008710.20_7" 3471 4695 632 1971 1544 828 325 515 881 1082 1596 535
"ENSG00000008735.14_5" 2 0 5 3 16 3 4 8 4 3 3 9
"ENSG00000008838.20_7" 8458 5654 514 1449 1591 560 334 395 552 746 1074 473
"ENSG00000008853.17_3" 2203 2676 205 620 596 163 89 148 210 179 279 200
"ENSG00000008869.12_6" 7278 11476 587 1648 2342 711 390 462 533 660 1114 321
"ENSG00000008952.17_4" 38235 31514 647 3374 2760 884 630 493 512 805 1393 749
"ENSG00000008988.9_3" 90221 45928 3179 19327 11832 3090 1293 1493 1833 3326 8109 9407
"ENSG00000009307.16_9" 60576 62696 3315 13489 16549 4656 4361 3166 3593 5400 9008 3869
"ENSG00000009335.18_5" 8736 5496 583 2059 2356 665 500 445 622 747 1381 465
"ENSG00000009413.16_6" 1971 7273 195 746 1139 339 241 290 259 264 564 157
"ENSG00000009694.13_6" 1565 1976 43 544 169 93 241 77 26 94 54 52
"ENSG00000009709.12_4" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000009724.17_5" 404 3 0 0 1 3 0 0 0 0 1 0
"ENSG00000009765.15_3" 3 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000009780.15_5" 3096 2951 108 493 397 123 68 61 113 129 238 86
"ENSG00000009790.15_7" 40842 28936 3279 16798 12448 4105 2968 2548 2843 4640 8040 3620
"ENSG00000009830.11_9" 696 346 65 299 195 70 54 63 76 105 164 79
"ENSG00000009844.16_5" 4410 3326 262 1305 1071 339 275 215 248 345 674 271
"ENSG00000009950.16_7" 97 0 0 4 0 0 0 0 0 0 1 5
"ENSG00000009954.11_5" 13082 11401 584 2140 3391 862 428 700 656 846 1673 555
"ENSG00000010017.13_5" 5578 2713 313 1347 1524 451 419 361 353 461 893 327
"ENSG00000010030.14_6" 1696 786 37 462 208 20 25 25 49 59 220 65
"ENSG00000010072.16_5" 2696 1052 73 364 319 104 119 82 84 93 190 82
"ENSG00000010165.20_5" 3812 3574 271 940 1120 370 237 224 333 349 697 285
"ENSG00000010219.13_6" 1330 2646 69 383 259 79 37 51 78 70 183 107
"ENSG00000010244.18_7" 28651 32750 2001 7846 6613 2508 2042 1792 2074 2512 3837 1653
"ENSG00000010256.11_5" 14175 10893 775 2347 2701 855 1145 632 965 1183 2045 1545
"ENSG00000010270.13_4" 4278 6854 181 1119 633 205 188 137 126 182 478 211
"ENSG00000010278.14_6" 4383 2576 210 1084 1194 218 241 60 269 222 462 199
"ENSG00000010282.15_9" 0 0 1 1 1 0 1 0 3 0 3 0
"ENSG00000010292.13_5" 10909 6455 641 2061 3066 783 738 605 745 997 1718 579
"ENSG00000010295.19_6" 7997 8052 664 2627 1952 740 826 508 889 1183 1737 974
"ENSG00000010310.9_6" 586 220 49 218 106 55 23 30 67 65 99 27
"ENSG00000010318.21_5" 1725 0 32 121 118 51 30 35 51 46 74 42
"ENSG00000010319.7_6" 104 0 7 8 26 9 2 15 7 9 12 5
"ENSG00000010322.16_6" 20952 21276 1333 5221 3940 1761 1366 1041 1695 2331 3518 1492
"ENSG00000010327.10_4" 17690 9726 857 1581 2977 959 999 604 840 1870 2012 2250
"ENSG00000010361.14_7" 553 2960 123 348 338 175 301 121 179 200 363 244
"ENSG00000010379.16_6" 0 0 1 9 6 5 5 0 5 5 6 4
"ENSG00000010404.18_6" 2532 5336 2680 9490 12834 4668 9544 3359 4933 6148 7967 3599
"ENSG00000010438.16_5" 0 0 2 3 4 0 4 0 1 2 3 1
"ENSG00000010539.11_7" 6722 6848 195 1261 1115 261 545 243 352 292 676 237
"ENSG00000010610.10_5" 43234 49525 2532 5922 14610 3570 2086 2047 3019 4843 7589 3875
"ENSG00000010626.15_6" 200 406 30 116 116 75 26 18 40 68 92 71
"ENSG00000010671.16_4" 21258 28011 752 3218 3874 892 1323 815 955 1152 2243 1020
"ENSG00000010704.18_5" 394 3301 38 175 340 79 42 44 61 71 158 66
"ENSG00000010803.16_7" 1853 1058 154 499 547 195 74 87 168 220 376 146
"ENSG00000010810.17_9" 41978 32620 1990 8331 7448 2184 1038 1617 2127 3028 4487 1771
"ENSG00000010818.10_6" 8814 5793 545 2331 3570 1207 640 580 636 955 1485 338
"ENSG00000010932.17_4" 4 0 0 2 1 2 0 0 0 1 0 1
"ENSG00000011007.12_4" 5600 5030 356 1382 1947 454 286 363 409 456 1018 404
"ENSG00000011009.11_4" 8700 7786 666 1916 1911 776 1246 471 969 1364 1761 1174
"ENSG00000011021.23_6" 2555 5196 273 1041 950 409 173 218 289 395 669 251
"ENSG00000011028.14_5" 1682 2182 133 97 229 135 174 29 52 134 277 76
"ENSG00000011052.21_4" 0 0 578 2639 1723 557 379 340 426 493 1451 1452
"ENSG00000011083.9_5" 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000011105.14_6" 56 902 67 60 326 114 84 17 30 88 61 45
"ENSG00000011114.15_8" 5190 3202 213 963 960 325 311 224 302 259 483 181
"ENSG00000011132.12_8" 3835 2264 254 998 716 324 373 212 377 632 779 369
"ENSG00000011143.17_7" 1436 1145 91 299 272 110 34 58 95 116 192 59
"ENSG00000011198.10_9" 7421 9506 419 2318 2615 970 3139 729 1060 1168 1863 896
"ENSG00000011201.12_6" 0 0 1 1 6 0 15 1 7 2 10 2
"ENSG00000011243.18_7" 10315 5646 716 2814 2473 885 1200 623 995 1406 2030 1328
"ENSG00000011258.16_6" 5049 5897 314 1390 1149 384 311 272 320 454 613 229
"ENSG00000011260.14_4" 8442 2090 248 1202 922 267 158 161 180 227 651 317
"ENSG00000011275.18_5" 12410 13576 1050 4371 3873 1427 1242 855 1185 1708 2706 917
"ENSG00000011295.16_8" 6324 3835 155 737 830 233 78 126 198 176 430 137
"ENSG00000011304.20_8" 32004 25310 1561 5172 6567 2125 1573 1635 2297 2817 4354 1796
"ENSG00000011332.19_7" 182 0 0 2 2 0 0 0 0 0 0 0
"ENSG00000011347.10_8" 452 0 1 3 1 0 0 0 1 0 0 0
"ENSG00000011376.12_9" 3082 894 152 484 625 200 110 114 142 184 314 131
"ENSG00000011405.13_5" 4803 3655 311 1182 1003 444 232 284 231 399 476 171
"ENSG00000011422.12_7" 12944 27060 420 2219 2756 949 2315 662 1243 1207 1793 7555
"ENSG00000011426.11_8" 421 0 18 41 30 10 9 10 4 21 14 9
