"Geneid" "HG002" "HG003"
"ENSG00000006744.19_7" 7984 7296
"ENSG00000006747.15_5" 255 0
"ENSG00000006756.16_5" 2962 2315
"ENSG00000006757.12_6" 610 1170
"ENSG00000006788.14_7" 0 0
"ENSG00000006831.10_4" 8907 11374
"ENSG00000006837.12_7" 19 346
"ENSG00000007001.13_4" 0 0
"ENSG00000007038.11_4" 1986 669
"ENSG00000007047.15_6" 4421 3288
"ENSG00000007062.11_7" 0 1
"ENSG00000007080.11_4" 5582 5572
"ENSG00000007129.18_7" 2500 3629
"ENSG00000007168.13_5" 19307 23930
"ENSG00000007171.18_8" 0 0
"ENSG00000007174.18_6" 0 0
"ENSG00000007202.15_7" 12031 12307
"ENSG00000007216.15_6" 0 0
"ENSG00000007237.18_8" 15368 15364
"ENSG00000007255.10_3" 5102 3460
"ENSG00000007264.15_7" 7601 4476
"ENSG00000007306.15_5" 0 0
"ENSG00000007312.13_6" 17465 13425
"ENSG00000007314.12_5" 0 0
"ENSG00000007341.19_6" 1529 282
"ENSG00000007350.17_8" 316 934
"ENSG00000007372.23_9" 0 0
"ENSG00000007376.8_6" 3168 2674
"ENSG00000007384.15_6" 0 0
"ENSG00000007392.16_7" 9254 2582
"ENSG00000007402.11_5" 1253 2040
"ENSG00000007516.14_6" 1756 2623
"ENSG00000007520.4_5" 5363 3956
"ENSG00000007541.17_5" 2736 4792
"ENSG00000007545.16_5" 2758 5324
"ENSG00000007866.21_11" 0 56
"ENSG00000007908.16_7" 0 0
"ENSG00000007923.16_6" 3522 3370
"ENSG00000007933.13_5" 0 0
"ENSG00000007944.15_4" 14678 15215
"ENSG00000007952.18_6" 0 0
"ENSG00000007968.7_5" 2166 438
"ENSG00000008018.9_5" 12227 6670
"ENSG00000008056.14_7" 319 0
"ENSG00000008083.14_4" 13410 13300
"ENSG00000008086.13_6" 1028 2760
"ENSG00000008118.10_5" 0 0
"ENSG00000008128.23_7" 59 957
"ENSG00000008130.15_5" 57239 75075
"ENSG00000008196.13_5" 182 0
"ENSG00000008197.5_5" 50 0
"ENSG00000008226.20_5" 255 910
"ENSG00000008256.16_6" 1764 1488
"ENSG00000008277.14_3" 914 352
"ENSG00000008282.8_6" 11603 14326
"ENSG00000008283.16_6" 4412 2084
"ENSG00000008294.21_7" 12618 13233
"ENSG00000008300.17_6" 454 280
"ENSG00000008311.15_5" 1394 0
"ENSG00000008323.15_3" 0 0
"ENSG00000008324.11_3" 5636 736
"ENSG00000008382.15_6" 469 766
"ENSG00000008394.13_8" 2092 4110
"ENSG00000008405.12_6" 2768 1700
"ENSG00000008438.5_5" 3241 4390
"ENSG00000008441.16_6" 2456 1974
"ENSG00000008513.16_9" 25501 17522
"ENSG00000008516.17_4" 37807 43391
"ENSG00000008517.17_6" 50737 18199
"ENSG00000008710.20_7" 3471 4695
"ENSG00000008735.14_5" 2 0
"ENSG00000008838.20_7" 8458 5654
"ENSG00000008853.17_3" 2203 2676
"ENSG00000008869.12_6" 7278 11476
"ENSG00000008952.17_4" 38235 31514
"ENSG00000008988.9_3" 90221 45928
"ENSG00000009307.16_9" 60576 62696
"ENSG00000009335.18_5" 8736 5496
"ENSG00000009413.16_6" 1971 7273
"ENSG00000009694.13_6" 1565 1976
"ENSG00000009709.12_4" 0 0
"ENSG00000009724.17_5" 404 3
"ENSG00000009765.15_3" 3 0
"ENSG00000009780.15_5" 3096 2951
"ENSG00000009790.15_7" 40842 28936
"ENSG00000009830.11_9" 696 346
"ENSG00000009844.16_5" 4410 3326
"ENSG00000009950.16_7" 97 0
"ENSG00000009954.11_5" 13082 11401
"ENSG00000010017.13_5" 5578 2713
"ENSG00000010030.14_6" 1696 786
"ENSG00000010072.16_5" 2696 1052
"ENSG00000010165.20_5" 3812 3574
"ENSG00000010219.13_6" 1330 2646
"ENSG00000010244.18_7" 28651 32750
"ENSG00000010256.11_5" 14175 10893
"ENSG00000010270.13_4" 4278 6854
"ENSG00000010278.14_6" 4383 2576
"ENSG00000010282.15_9" 0 0
"ENSG00000010292.13_5" 10909 6455
"ENSG00000010295.19_6" 7997 8052
"ENSG00000010310.9_6" 586 220
"ENSG00000010318.21_5" 1725 0
"ENSG00000010319.7_6" 104 0
"ENSG00000010322.16_6" 20952 21276
"ENSG00000010327.10_4" 17690 9726
"ENSG00000010361.14_7" 553 2960
"ENSG00000010379.16_6" 0 0
"ENSG00000010404.18_6" 2532 5336
"ENSG00000010438.16_5" 0 0
"ENSG00000010539.11_7" 6722 6848
"ENSG00000010610.10_5" 43234 49525
"ENSG00000010626.15_6" 200 406
"ENSG00000010671.16_4" 21258 28011
"ENSG00000010704.18_5" 394 3301
"ENSG00000010803.16_7" 1853 1058
"ENSG00000010810.17_9" 41978 32620
"ENSG00000010818.10_6" 8814 5793
"ENSG00000010932.17_4" 4 0
"ENSG00000011007.12_4" 5600 5030
"ENSG00000011009.11_4" 8700 7786
